Month,Dayweek,Time,State,Hour
August,Wednesday,13:25:00,NSW,13
February,Friday,06:25:00,NSW,6
August,Sunday,15:00:00,QLD,15
March,Friday,22:25:00,SA,22
June,Friday,18:55:00,NSW,18
January,Saturday,08:35:00,SA,8
October,Monday,11:00:00,QLD,11
July,Friday,21:45:00,SA,21
September,Saturday,04:40:00,NSW,4
April,Monday,20:05:00,NSW,20
May,Sunday,07:00:00,NSW,7
May,Thursday,17:50:00,WA,17
November,Saturday,14:30:00,NSW,14
December,Saturday,18:00:00,QLD,18
February,Friday,20:00:00,WA,20
November,Thursday,08:11:00,NT,8
April,Thursday,13:15:00,NSW,13
October,Friday,03:30:00,NSW,3
March,Wednesday,12:45:00,NSW,12
June,Saturday,07:00:00,QLD,7
July,Friday,17:00:00,VIC,17
April,Sunday,02:30:00,VIC,2
November,Monday,15:25:00,NSW,15
May,Sunday,18:33:00,VIC,18
June,Friday,15:00:00,VIC,15
May,Friday,23:00:00,QLD,23
January,Sunday,18:00:00,NSW,18
November,Sunday,01:00:00,QLD,1
September,Monday,10:45:00,VIC,10
May,Wednesday,15:30:00,WA,15
May,Thursday,20:00:00,QLD,20
February,Wednesday,05:45:00,NSW,5
November,Saturday,14:05:00,SA,14
June,Saturday,16:40:00,WA,16
October,Monday,11:30:00,VIC,11
February,Friday,21:00:00,SA,21
August,Saturday,17:25:00,SA,17
September,Saturday,21:53:00,VIC,21
March,Saturday,17:00:00,QLD,17
September,Wednesday,20:30:00,ACT,20
June,Wednesday,18:00:00,ACT,18
August,Friday,18:36:00,NSW,18
April,Wednesday,18:00:00,WA,18
November,Friday,06:10:00,WA,6
January,Saturday,14:15:00,WA,14
May,Tuesday,16:00:00,QLD,16
July,Monday,09:55:00,VIC,9
September,Thursday,20:35:00,NSW,20
August,Tuesday,11:40:00,VIC,11
April,Thursday,04:00:00,QLD,4
October,Sunday,03:30:00,WA,3
July,Friday,18:55:00,NSW,18
April,Saturday,04:00:00,NSW,4
October,Sunday,01:00:00,SA,1
September,Friday,22:30:00,NSW,22
December,Friday,17:40:00,VIC,17
July,Sunday,18:35:00,WA,18
October,Saturday,13:15:00,NSW,13
January,Saturday,02:30:00,WA,2
November,Monday,16:10:00,VIC,16
February,Tuesday,13:40:00,NSW,13
January,Saturday,23:30:00,WA,23
July,Friday,04:40:00,VIC,4
July,Friday,13:30:00,NT,13
August,Sunday,01:00:00,VIC,1
October,Thursday,13:30:00,NT,13
August,Friday,22:40:00,NSW,22
August,Saturday,15:14:00,VIC,15
November,Monday,12:15:00,NSW,12
December,Thursday,00:00:00,QLD,0
May,Sunday,14:25:00,NSW,14
June,Wednesday,21:41:00,VIC,21
November,Friday,19:41:00,NSW,19
December,Thursday,14:50:00,TAS,14
January,Saturday,22:30:00,NSW,22
November,Saturday,14:15:00,VIC,14
December,Sunday,01:29:00,WA,1
March,Sunday,15:00:00,QLD,15
August,Friday,00:51:00,NSW,0
March,Sunday,17:00:00,SA,17
April,Saturday,09:00:00,QLD,9
October,Friday,19:00:00,QLD,19
August,Saturday,02:00:00,QLD,2
September,Monday,09:15:00,ACT,9
May,Tuesday,12:40:00,NSW,12
December,Tuesday,12:50:00,SA,12
October,Saturday,10:50:00,NSW,10
March,Thursday,13:00:00,QLD,13
March,Sunday,17:40:00,NSW,17
May,Thursday,06:40:00,VIC,6
June,Saturday,17:00:00,VIC,17
April,Tuesday,11:05:00,WA,11
October,Tuesday,00:30:00,NSW,0
January,Thursday,05:43:00,NSW,5
September,Thursday,16:50:00,NSW,16
December,Wednesday,18:30:00,NSW,18
March,Thursday,16:00:00,QLD,16
August,Friday,15:15:00,VIC,15
November,Thursday,14:05:00,NSW,14
January,Sunday,23:40:00,VIC,23
July,Friday,09:25:00,VIC,9
April,Sunday,00:30:00,NSW,0
February,Monday,09:00:00,QLD,9
November,Monday,12:20:00,WA,12
November,Thursday,12:35:00,NSW,12
December,Wednesday,14:00:00,QLD,14
April,Monday,17:00:00,QLD,17
May,Friday,13:00:00,QLD,13
April,Thursday,20:45:00,NSW,20
May,Friday,16:30:00,NSW,16
October,Tuesday,18:00:00,QLD,18
June,Saturday,22:00:00,QLD,22
June,Wednesday,20:55:00,WA,20
November,Tuesday,06:15:00,WA,6
April,Tuesday,15:25:00,NSW,15
October,Thursday,19:15:00,SA,19
November,Wednesday,19:10:00,NSW,19
February,Sunday,00:15:00,SA,0
March,Thursday,20:30:00,VIC,20
December,Sunday,04:56:00,WA,4
February,Thursday,17:30:00,NT,17
September,Saturday,20:45:00,WA,20
February,Tuesday,17:30:00,VIC,17
October,Wednesday,02:00:00,QLD,2
August,Saturday,01:30:00,NT,1
August,Thursday,13:00:00,QLD,13
March,Friday,14:43:00,VIC,14
August,Saturday,07:00:00,QLD,7
August,Friday,15:00:00,QLD,15
April,Monday,11:20:00,NSW,11
April,Saturday,04:46:00,NT,4
March,Monday,23:00:00,SA,23
January,Tuesday,07:45:00,VIC,7
May,Wednesday,01:50:00,VIC,1
July,Sunday,18:00:00,SA,18
December,Sunday,09:35:00,NSW,9
August,Tuesday,08:45:00,VIC,8
March,Monday,20:20:00,WA,20
April,Thursday,01:49:00,VIC,1
November,Sunday,04:10:00,NSW,4
May,Saturday,00:50:00,NSW,0
August,Friday,15:50:00,NSW,15
April,Friday,19:00:00,WA,19
May,Wednesday,16:10:00,WA,16
November,Friday,23:20:00,WA,23
November,Friday,13:15:00,VIC,13
May,Monday,07:00:00,QLD,7
March,Friday,20:15:00,SA,20
August,Monday,22:37:00,NSW,22
May,Saturday,17:55:00,WA,17
October,Saturday,23:00:00,QLD,23
January,Tuesday,16:40:00,NSW,16
June,Thursday,22:13:00,TAS,22
June,Tuesday,12:45:00,NSW,12
January,Wednesday,01:30:00,VIC,1
March,Monday,23:00:00,NSW,23
November,Monday,11:30:00,WA,11
September,Monday,03:00:00,ACT,3
July,Saturday,15:00:00,QLD,15
February,Saturday,11:15:00,NSW,11
February,Thursday,17:00:00,QLD,17
November,Monday,07:48:00,NSW,7
May,Wednesday,23:40:00,NT,23
October,Friday,08:30:00,NSW,8
November,Saturday,06:25:00,NSW,6
August,Wednesday,17:30:00,NT,17
August,Monday,11:14:00,VIC,11
February,Tuesday,17:12:00,NSW,17
July,Wednesday,16:33:00,SA,16
November,Friday,02:30:00,NSW,2
February,Sunday,07:10:00,WA,7
May,Saturday,00:02:00,VIC,0
January,Monday,08:48:00,TAS,8
February,Wednesday,12:30:00,NSW,12
December,Friday,01:30:00,VIC,1
September,Friday,14:17:00,VIC,14
August,Tuesday,16:00:00,QLD,16
